verse_key,position,arabic,transliteration,malay_base,english,old_thai,new_thai,category,correction_reason
4:95,15,فَضَّلَ,faḍḍala,melebihkan,Preferred,อัลลอฮฺทรงให้เกียรติเหนือกว่า,ทรงให้เกียรติเหนือกว่า,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:95,24,وَعَدَ,waʿada,menjanjikan,promised,อัลลอฮฺทรงสัญญา,ทรงสัญญา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:95,27,وَفَضَّلَ,wafaḍḍala,dan melebihkan,preferred,และอัลลอฮฺทรงให้เกียรติเหนือกว่า,และทรงให้เกียรติเหนือกว่า,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:100,21,يُدْرِكْهُ,yud'rik'hu,menemuinya,overtakes him,ความตายก็มาทันเขา,ก็มาทันเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ความตาย' from verb/phrase to establish strict 1-to-1 match
4:105,10,أَرَٰكَ,arāka,memperlihatkan/mewahyukan kepadamu,has shown you,ที่อัลลอฮฺทรงให้เจ้าเห็น,ที่ทรงให้เจ้าเห็น,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:109,17,عَلَيْهِمْ,ʿalayhim,atas mereka,[over them],ผู้คุ้มครองเหนือพวกเขา,เหนือพวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ผู้คุ้มครอง' from verb/phrase to establish strict 1-to-1 match
4:113,19,وَأَنزَلَ,wa-anzala,dan telah menurunkan,And has sent down,และอัลลอฮฺได้ทรงประทานลงมา,และได้ทรงประทานลงมา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:125,14,وَٱتَّخَذَ,wa-ittakhadha,dan mengambil,And was taken,และอัลลอฮฺได้ทรงแต่งตั้ง,และได้ทรงแต่งตั้ง,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:137,14,يَكُنِ,yakuni,ada/akan,will,อัลลอฮฺทรง,ทรง,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:163,24,دَاوُۥدَ,dāwūda,Daud,(to) Dawood,ซึ่งคัมภีร์ซะบูร,ซึ่ง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'คัมภีร์ซะบูร' from verb/phrase to establish strict 1-to-1 match
4:176,27,كَانَتَا,kānatā,adalah keduanya,there were,มีเป็นหญิงสองคน,มีเป็นหญิง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'สองคน' from verb/phrase to establish strict 1-to-1 match
5:1,8,بَهِيمَةُ,bahīmatu,binatang,the quadruped,ซึ่งปศุสัตว์,ซึ่ง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ปศุสัตว์' from verb/phrase to establish strict 1-to-1 match
5:3,15,وَٱلنَّطِيحَةُ,wal-naṭīḥatu,dan binatang yang ditanduk,and that which is gored by horns,และสัตว์ที่ถูกขวิดตาย,ถูกขวิดตาย,PHRASE_PACKING_UNPACKED,Unpacked following noun 'และสัตว์ที่' from verb/phrase to establish strict 1-to-1 match
5:3,17,أَكَلَ,akala,memakan (menerkam),ate (it),สัตว์ป่ากิน,กิน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'สัตว์ป่า' from verb/phrase to establish strict 1-to-1 match
5:17,38,وَٱللَّهُ,wal-lahu,dan Allah,and Allah,(misaligned/shifted),และอัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:17,39,عَلَىٰ,ʿalā,atas,(is) on,(misaligned/shifted),เหนือ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:17,40,كُلِّ,kulli,segala,every,(misaligned/shifted),ทุกๆ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:17,41,شَىْءٍۢ,shayin,sesuatu,thing,(misaligned/shifted),สิ่ง,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:17,42,قَدِيرٌۭ,qadīrun,Maha Kuasa,All-Powerful,(misaligned/shifted),ผู้ทรงเดชานุภาพ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:19,24,وَٱللَّهُ,wal-lahu,dan Allah,And Allah,(misaligned/shifted),และอัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:19,25,عَلَىٰ,ʿalā,atas,(is) on,(misaligned/shifted),เหนือ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:19,26,كُلِّ,kulli,segala,every,(misaligned/shifted),ทุกๆ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:19,27,شَىْءٍۢ,shayin,sesuatu,thing,(misaligned/shifted),สิ่ง,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:19,28,قَدِيرٌۭ,qadīrun,Maha Kuasa,All-Powerful,(misaligned/shifted),ผู้ทรงเดชานุภาพ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
5:21,6,كَتَبَ,kataba,tentukan,(has been) ordained,ที่อัลลอฮฺได้ทรงกำหนด,ที่ได้ทรงกำหนด,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:23,6,أَنْعَمَ,anʿama,telah memberi nikmat,(had) favored,ซึ่งอัลลอฮฺได้ทรงประทานความโปรดปราน,ซึ่งได้ทรงประทานความโปรดปราน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:64,6,غُلَّتْ,ghullat,terbelenggu,Are chained,มือของพวกเขาถูกพันธนาการ,ถูกพันธนาการ,PHRASE_PACKING_UNPACKED,Unpacked following noun 'มือของพวกเขา' from verb/phrase to establish strict 1-to-1 match
5:64,38,أَطْفَأَهَا,aṭfa-ahā,memadamkan,it (was) extinguished,อัลลอฮฺทรงดับมัน,ทรงดับมัน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:85,1,فَأَثَٰبَهُمُ,fa-athābahumu,maka memberi pahala kepada mereka,So rewarded them,ดังนั้นอัลลอฮฺจึงทรงตอบแทนพวกเขา,ดังนั้นจึงทรงตอบแทนพวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:87,6,طَيِّبَٰتِ,ṭayyibāti,yang baik-baik,(the) good things,สิ่งที่ดีทั้งหลาย,ดีทั้งหลาย,PHRASE_PACKING_UNPACKED,Unpacked following noun 'สิ่งที่' from verb/phrase to establish strict 1-to-1 match
5:94,4,لَيَبْلُوَنَّكُمُ,layabluwannakumu,sungguh akan menguji kamu,Surely will test you,แน่นอนอัลลอฮฺจะทรงทดสอบพวกท่าน,แน่นอนจะทรงทดสอบพวกท่าน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:94,9,تَنَالُهُۥٓ,tanāluhu,kamu perolehnya,can reach it,ที่มือของพวกท่าน,ที่,PHRASE_PACKING_UNPACKED,Unpacked following noun 'มือของพวกท่าน' from verb/phrase to establish strict 1-to-1 match
5:94,12,لِيَعْلَمَ,liyaʿlama,karena hendak mengetahui,that may make evident,เพื่ออัลลอฮฺจะทรงรู้,เพื่อจะทรงรู้,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:95,38,عَفَا,ʿafā,telah memaafkan,Pardoned,อัลลอฮฺทรงอภัยแล้ว,ทรงอภัยแล้ว,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:95,44,فَيَنتَقِمُ,fayantaqimu,maka akan menyiksa,then will take retribution,ดังนั้นอัลลอฮฺจะทรงแก้แค้น,ดังนั้นจะทรงแก้แค้น,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:101,20,عَفَا,ʿafā,memaafkan,has (been) pardoned,อัลลอฮฺทรงอภัยแล้ว,ทรงอภัยแล้ว,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
5:102,2,سَأَلَهَا,sa-alahā,telah menanyakannya,asked them,กลุ่มชนก่อนพวกท่าน,ก่อนพวกท่าน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'กลุ่มชน' from verb/phrase to establish strict 1-to-1 match
5:115,1,قَالَ,qāla,berfirman,Said,อัลลอฮฺตรัส,ตรัส,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
6:19,20,لَتَشْهَدُونَ,latashhadūna,sungguh kamu mengakui,testify,(misaligned/shifted),พวกท่านยืนยันอย่างแน่นอนกระนั้นหรือ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,21,أَنَّ,anna,bahwa,that,(misaligned/shifted),ว่า,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,22,مَعَ,maʿa,bersama/disamping,with,(misaligned/shifted),ร่วมกับ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,23,ٱللَّهِ,l-lahi,Allah,Allah,(misaligned/shifted),อัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,24,ءَالِهَةً,ālihatan,Tuhan-Tuhan,(there are) gods,(misaligned/shifted),มีพระเจ้าหลายองค์,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,25,أُخْرَىٰ ۚ,ukh'rā,yang  lain,other,(misaligned/shifted),อื่นอีก,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,26,قُل,qul,katakanlah,Say,(misaligned/shifted),จงกล่าวเถิด,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,27,لَّآ,lā,tidak,Not,(misaligned/shifted),ฉันไม่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,28,أَشْهَدُ ۚ,ashhadu,aku mengakui,(do) I testify,(misaligned/shifted),ขอยืนยันเช่นนั้น,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,29,قُلْ,qul,katakanlah,Say,(misaligned/shifted),จงกล่าวเถิด,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,30,إِنَّمَا,innamā,sesungguhnya hanyalah,Only,(misaligned/shifted),แท้จริงแล้ว,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,31,هُوَ,huwa,Dia,He,(misaligned/shifted),พระองค์คือ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,32,إِلَٰهٌۭ,ilāhun,Tuhan,(is) God,(misaligned/shifted),พระผู้เป็นเจ้า,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,33,وَٰحِدٌۭ,wāḥidun,satu/esa,One,(misaligned/shifted),เพียงองค์เดียว,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,34,وَإِنَّنِى,wa-innanī,dan sesungguhnya aku,"and indeed, I am",(misaligned/shifted),และแท้จริงฉัน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,35,بَرِىٓءٌۭ,barīon,berlepas diri,free,(misaligned/shifted),ขอตัดขาดและบริสุทธิ์,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,36,مِّمَّا,mimmā,dari apa yang,of what,(misaligned/shifted),จากสิ่งที่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:19,37,تُشْرِكُونَ,tush'rikūna,kamu persekutukan,you associate (with Him),(misaligned/shifted),พวกท่านตั้งภาคี,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
6:29,7,وَمَا,wamā,dan tidaklah,and not,และพวกเรามิใช่,และมิใช่,PHRASE_PACKING_UNPACKED,Unpacked following noun 'พวกเรา' from verb/phrase to establish strict 1-to-1 match
6:31,9,جَآءَتْهُمُ,jāathumu,datang kepada mereka,came to them,ยามอัจซาลได้มาหาพวกเขา,ได้มาหาพวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ยามอัจซาล' from verb/phrase to establish strict 1-to-1 match
6:36,6,يَبْعَثُهُمُ,yabʿathuhumu,akan membangkitkan mereka,will resurrect them,อัลลอฮฺจะทรงให้พวกเขาฟื้นคืนชีพ,จะทรงให้พวกเขาฟื้นคืนชีพ,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
6:49,4,يَمَسُّهُمُ,yamassuhumu,akan menimpa mereka,will touch them,การลงโทษจะประสบแก่พวกเขา,จะประสบแก่พวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'การลงโทษ' from verb/phrase to establish strict 1-to-1 match
6:61,13,تَوَفَّتْهُ,tawaffathu,mewafatkannya,take him,บรรดาทูตของเราได้ปลิดชีพเขา,บรรดาได้ปลิดชีพเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ทูตของเรา' from verb/phrase to establish strict 1-to-1 match
6:80,1,وَحَآجَّهُۥ,waḥājjahu,dan membantah kepadanya,And argued with him,และกลุ่มชนของเขาได้โต้แย้งกับเขา,และได้โต้แย้งกับเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'กลุ่มชนของเขา' from verb/phrase to establish strict 1-to-1 match
6:112,9,يُوحِى,yūḥī,membisikkan,inspiring,โดยที่บางส่วนของพวกเขา,โดยที่,PHRASE_PACKING_UNPACKED,Unpacked following noun 'บางส่วนของพวกเขา' from verb/phrase to establish strict 1-to-1 match
6:128,10,وَقَالَ,waqāla,dan berkata,And will say,และบรรดาผู้คุ้มครองของพวกเขา,และ,PHRASE_PACKING_UNPACKED,Unpacked following noun 'บรรดาผู้คุ้มครองของพวกเขา' from verb/phrase to establish strict 1-to-1 match
6:140,11,رَزَقَهُمُ,razaqahumu,rezkikan kepada mereka,(bas been) provided (to) them,อัลลอฮฺทรงประทานปัจจัยยังชีพแก่พวกเขา,ทรงประทานปัจจัยยังชีพแก่พวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
6:142,7,رَزَقَكُمُ,razaqakumu,memberikan rezki kepadamu,(has been) provided (to) you,อัลลอฮฺประทานปัจจัยชีพแก่พวกท่าน,ประทานปัจจัยชีพแก่พวกท่าน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
6:143,19,نَبِّـُٔونِى,nabbiūnī,terangkanlah kepadaku,Inform me,จงแจ้งแก่ฉันด้วยความรู้,จงแจ้งแก่ฉัน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ด้วยความรู้' from verb/phrase to establish strict 1-to-1 match
6:164,18,وَازِرَةٌۭ,wāziratun,orang yang berdosa,any bearer of burden,ผู้แบกภาระบาป,ผู้แบก,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ภาระบาป' from verb/phrase to establish strict 1-to-1 match
7:4,5,فَجَآءَهَا,fajāahā,maka datang kepadanya,and came to it,แล้วการลงโทษของเราได้มายังมัน,แล้วได้มายังมัน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'การลงโทษของเรา' from verb/phrase to establish strict 1-to-1 match
7:5,5,جَآءَهُم,jāahum,datang kepada mereka,came to them,การลงโทษของเราได้มายังพวกเขา,ได้มายังพวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'การลงโทษของเรา' from verb/phrase to establish strict 1-to-1 match
7:16,6,صِرَٰطَكَ,ṣirāṭaka,jalan Engkau,(on) Your path,ซึ่งเส้นทางอันเที่ยงตรงของพระองค์,ซึ่งเส้นทางของพระองค์,PHRASE_PACKING_UNPACKED,Unpacked following noun 'อันเที่ยงตรง' from verb/phrase to establish strict 1-to-1 match
7:20,13,نَهَٰكُمَا,nahākumā,melarang kamu berdua,forbid you both,พระเจ้าของพวกท่านทั้งสองได้ทรงห้ามพวกท่านทั้งสอง,ได้ทรงห้ามพวกท่านทั้งสอง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'พระเจ้าของพวกท่านทั้งสอง' from verb/phrase to establish strict 1-to-1 match
7:27,4,يَفْتِنَنَّكُمُ,yaftinannakumu,dapat menipu kamu,tempt you,ให้ชัยฏอนหลอกลวงพวกเจ้า,ให้หลอกลวงพวกเจ้า,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ชัยฏอน' from verb/phrase to establish strict 1-to-1 match
7:38,24,قَالَتْ,qālat,berkatalah,(will) say,กลุ่มสุดท้ายของพวกเขากล่าวว่า,กล่าวว่า,PHRASE_PACKING_UNPACKED,Unpacked following noun 'กลุ่มสุดท้ายของพวกเขา' from verb/phrase to establish strict 1-to-1 match
7:39,1,وَقَالَتْ,waqālat,dan berkatalah,And (will) say,และกลุ่มแรกของพวกเขากล่าวว่า,และกล่าวว่า,PHRASE_PACKING_UNPACKED,Unpacked following noun 'กลุ่มแรกของพวกเขา' from verb/phrase to establish strict 1-to-1 match
7:44,10,وَعَدَنَا,waʿadanā,menjanjikan kepada kami,(had) promised us,พระเจ้าของเราทรงสัญญาแก่เรา,ทรงสัญญาแก่เรา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'พระเจ้าของเรา' from verb/phrase to establish strict 1-to-1 match
7:44,13,فَهَلْ,fahal,maka apakah,So have,ดังนั้นพวกท่านได้พบ,ดังนั้น,PHRASE_PACKING_UNPACKED,Unpacked following noun 'พวกท่านได้พบ' from verb/phrase to establish strict 1-to-1 match
7:44,21,فَأَذَّنَ,fa-adhana,maka menyeru,Then will announce,แล้วผู้ประกาศคนหนึ่งจะประกาศ,แล้วจะประกาศ,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ผู้ประกาศคนหนึ่ง' from verb/phrase to establish strict 1-to-1 match
7:89,12,نَجَّٰنَا,najjānā,menyelamatkan/melepaskan kami,saved us,ที่อัลลอฮฺได้ทรงช่วยให้พวกเราพ้น,ที่ได้ทรงช่วยให้พวกเราพ้น,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
7:127,1,وَقَالَ,waqāla,dan berkata,And said,และบรรดาหัวหน้า,และบรรดา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'หัวหน้า' from verb/phrase to establish strict 1-to-1 match
7:175,9,فَأَتْبَعَهُ,fa-atbaʿahu,maka/lalu mengikutinya,so followed him,แล้วชัยฏอนก็ตามเขาไป,แล้วก็ตามเขาไป,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ชัยฏอน' from verb/phrase to establish strict 1-to-1 match
7:185,19,فَبِأَىِّ,fabi-ayyi,maka yang mana,So in what,ดังนั้นในคำพูดไหน,ดังนั้นในไหน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'คำพูด' from verb/phrase to establish strict 1-to-1 match
7:186,2,يُضْلِلِ,yuḍ'lili,menyesatkan,(is) let go astray,ที่อัลลอฮฺทรงปล่อยให้หลงทาง,ที่ทรงปล่อยให้หลงทาง,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
8:2,7,وَجِلَتْ,wajilat,gemetarlah,feel fear,หัวใจของพวกเขาก็หวั่นไหว,ก็หวั่นไหว,PHRASE_PACKING_UNPACKED,Unpacked following noun 'หัวใจของพวกเขา' from verb/phrase to establish strict 1-to-1 match
8:17,3,وَلَٰكِنَّ,walākinna,akan tetapi,but,แต่อัลลอฮฺต่างหาก,แต่ทว่า,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
8:17,10,وَلَٰكِنَّ,walākinna,akan tetapi,but,แต่อัลลอฮฺต่างหาก,แต่ทว่า,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
8:30,11,وَيَمْكُرُونَ,wayamkurūna,dan mereka membuat tipu daya,And they were planning,(misaligned/shifted),และพวกเขาก็วางแผน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
8:30,12,وَيَمْكُرُ,wayamkuru,dan membuat tipu daya,and (also) was planning,(misaligned/shifted),และทรงวางแผน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
8:30,13,ٱللَّهُ ۖ,l-lahu,Allah,Allah,(misaligned/shifted),อัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
8:30,14,وَٱللَّهُ,wal-lahu,dan Allah,And Allah,(misaligned/shifted),และอัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
8:30,15,خَيْرُ,khayru,sebaik-baik,is (the) Best,(misaligned/shifted),ทรงเป็นผู้ประเสริฐที่สุด,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
8:30,16,ٱلْمَٰكِرِينَ,l-mākirīna,pengatur tipu daya,(of) the Planners,(misaligned/shifted),ในหมู่ผู้วางแผน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
8:48,17,تَرَآءَتِ,tarāati,saling melihat,came in sight,สองกองทัพเห็นกันและกัน,เห็นกันและกัน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'สองกองทัพ' from verb/phrase to establish strict 1-to-1 match
8:52,10,فَأَخَذَهُمُ,fa-akhadhahumu,maka mengambil/menyiksa mereka,so seized them,ดังนั้นอัลลอฮฺจึงทรงลงโทษพวกเขา,ดังนั้นจึงทรงลงโทษพวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
8:66,2,خَفَّفَ,khaffafa,telah meringankan,has (been) lightened,อัลลอฮฺทรงผ่อนปรน,ทรงผ่อนปรน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
8:74,4,وَجَٰهَدُوا۟,wajāhadū,dan mereka berjihad,and strove hard,(misaligned/shifted),และต่อสู้เสียสละ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
9:30,20,قَٰتَلَهُمُ,qātalahumu,membunuh/membinasakan mereka,(May) Allah destroy them,ขออัลลอฮฺทรงประณามพวกเขาเถิด,ขอทรงประณามพวกเขาเถิด,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:33,8,لِيُظْهِرَهُۥ,liyuẓ'hirahu,untuk memenangkannya,to manifest it,เพื่อให้ออกมาเหนือ,เพื่อให้ออกมา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'เหนือ' from verb/phrase to establish strict 1-to-1 match
9:40,24,فَأَنزَلَ,fa-anzala,maka menurunkan,Then Allah sent down,ดังนั้นอัลลอฮฺจึงทรงลง,ดังนั้นจึงทรงลง,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:59,11,سَيُؤْتِينَا,sayu'tīnā,akan memberi kepada kami,Allah will give us,อัลลอฮฺจะทรงประทานให้แก่พวกเรา,จะทรงประทานให้แก่พวกเรา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:63,3,أَنَّهُۥ,annahu,bahwasanya,that he,แท้จริงผู้ใด,แท้จริง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ผู้ใด' from verb/phrase to establish strict 1-to-1 match
9:71,19,سَيَرْحَمُهُمُ,sayarḥamuhumu,mereka diberi rahmat,Allah will have mercy on them,อัลลอฮฺจะทรงเมตตาพวกเขา,จะทรงเมตตาพวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:74,20,أَغْنَٰهُمُ,aghnāhumu,mencukupkan mereka,Allah had enriched them,อัลลอฮฺทรงให้พวกเขาพึงพอ,ทรงให้พวกเขาพึงพอ,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:74,32,يُعَذِّبْهُمُ,yuʿadhib'humu,niscaya mengazab mereka,Allah will punish them,อัลลอฮฺจะทรงลงโทษพวกเขา,จะทรงลงโทษพวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:79,13,فَيَسْخَرُونَ,fayaskharūna,maka mereka menghina,so they ridicule,แล้วพวกเขา (มุนาฟิกีน) ก็เยาะเย้ย,แล้ว(มุนาฟิกีน) ก็เยาะเย้ย,PHRASE_PACKING_UNPACKED,Unpacked following noun 'พวกเขา' from verb/phrase to establish strict 1-to-1 match
9:79,15,سَخِرَ,sakhira,menghina,Allah will ridicule,อัลลอฮฺจะทรงเยาะเย้ย,จะทรงเยาะเย้ย,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:81,3,بِمَقْعَدِهِمْ,bimaqʿadihim,dengan tinggal/duduk mereka,in their staying,ด้วยการนั่งอยู่เบื้องหลังของพวกเขา,ด้วยการนั่งอยู่ของพวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'เบื้องหลัง' from verb/phrase to establish strict 1-to-1 match
9:81,9,يُجَٰهِدُوا۟,yujāhidū,mereka berjihad,strive,(misaligned/shifted),พวกเขาจะต่อสู้เสียสละ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
9:83,2,رَّجَعَكَ,rajaʿaka,mengembalikan kamu,Allah returns you,อัลลอฮฺทรงให้เจ้ากลับคืนสู่,ทรงให้เจ้ากลับคืนสู่,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:86,7,وَجَٰهِدُوا۟,wajāhidū,dan berjihadlah kamu,and strive,(misaligned/shifted),และจงต่อสู้เสียสละ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
9:93,13,وَطَبَعَ,waṭabaʿa,dan telah mencap/kunci mati,and Allah sealed,และอัลลอฮฺได้ทรงประทับตรา,และได้ทรงประทับตรา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:105,3,فَسَيَرَى,fasayarā,maka akan melihat,then Allah will see,แล้วอัลลอฮฺจะทรงเห็น,แล้วจะทรงเห็น,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
9:121,15,أَحْسَنَ,aḥsana,lebih baik,the best,ด้วยสิ่งที่ดีกว่า,ด้วยดีกว่า,PHRASE_PACKING_UNPACKED,Unpacked following noun 'สิ่งที่' from verb/phrase to establish strict 1-to-1 match
9:125,6,فَزَادَتْهُمْ,fazādathum,maka menambah mereka,(it) increases them,มันจึงเพิ่มความโสมมให้แก่พวกเขา,มันจึงเพิ่มให้แก่พวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ความโสมม' from verb/phrase to establish strict 1-to-1 match
10:9,6,يَهْدِيهِمْ,yahdīhim,memberi petunjuk mereka,(will) guide them,พระเจ้าของพวกเขาจะทรงนำทางพวกเขา,จะทรงนำทางพวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'พระเจ้าของพวกเขา' from verb/phrase to establish strict 1-to-1 match
10:22,21,وَجَآءَهُمُ,wajāahumu,dan datang/menimpa mereka,and comes to them,และคลื่นซัดมาหาพวกเขา,และซัดมาหาพวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'คลื่น' from verb/phrase to establish strict 1-to-1 match
